owner,is_accepted,score,last_activity_date,creation_date,answer_id,question_id,content_license,body,last_edit_date,posted_by_collectives,is_post_ai
"{'account_id': 19901828, 'reputation': 28, 'user_id': 14581663, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/720aaa1b772b8474a317a7884ef6f4cd?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Hxng', 'link': 'https://stackoverflow.com/users/14581663/hxng'}",True,1,1728261121,1728261121,79060313,79060236,CC BY-SA 4.0,"<ol> <li>I think you do not need to use a state to control the color transition. You have the option to apply the classes <code>grayscale hover:grayscale-0</code> to your image as seen on the documentation <a href=""https://tailwindcss.com/docs/grayscale"" rel=""nofollow noreferrer"">here</a>.</li> <li>I have also removed <code><div className=""absolute inset-0 bg-gradient-to-t from-black via-transparent to-transparent opacity-25 transition-opacity duration-300 hover:opacity-100"" /></code> from your code as it appears to affect the grayscale-to-color transition.</li> </ol> <p>Here is the final piece code</p> <pre><code>const WatchFilm = ({ movie }) => {   const genreName = movie.genres.length > 0 ? movie.genres[0].name : ""Sin Género"";    const animationVariants = {     hidden: { opacity: 0, scale: 0.8 },     visible: { opacity: 1, scale: 1 },   };    return (     <motion.div       className=""relative cursor-pointer bg-blue-700 rounded-lg overflow-hidden transition-all duration-500 hover:bg-gradient-to-r hover:from-blue-500 hover:to-purple-600 w-64 mx-2 my-12 transform hover:scale-110""       initial=""hidden""       animate=""visible""       variants={animationVariants}       transition={{ duration: 0.5 }}     >        <img         className={""h-96 w-full object-cover transition-transform duration-300 hover:scale-105 filter grayscale hover:grayscale-0""}         src={movie.cover}         alt={movie.title}       />       <div className=""absolute bottom-0 left-0 w-full bg-black bg-opacity-60 p-2 text-white text-center transition-all duration-500"">         <h2 className=""text-md sm:text-lg font-light font-afacadFlux"">           {genreName}         </h2>       </div>     </motion.div>   ); }; </code></pre>",,,true
"{'account_id': 13170666, 'reputation': 88007, 'user_id': 9513184, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/176386ce0b94057e55352484e69707f9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Unmitigated', 'link': 'https://stackoverflow.com/users/9513184/unmitigated'}",True,2,1728263082,1728263082,79060348,79060214,CC BY-SA 4.0,"<p><code>useQueryClient</code> is not reactive to any query data changing. The standard way is to call <code>useQuery</code> to retrieve any data (which handles caching automatically).</p> <pre class=""lang-js prettyprint-override""><code>const allBlogs = useQuery({     queryKey: ['blogs'],     queryFn: () => {/* make request to get blog data*/} }).data; </code></pre>",,,true
"{'account_id': 22990227, 'reputation': 57, 'user_id': 17115833, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/soqTJ.jpg?s=256', 'display_name': 'Narendra Dewasi', 'link': 'https://stackoverflow.com/users/17115833/narendra-dewasi'}",False,0,1728304329,1728304329,79061973,79060158,CC BY-SA 4.0,"<p>issue resolved, when I set timeout on updateNodeInternals.</p> <pre><code> // let ui re-render and then update handles position, without this, Handle position will have issue    setTimeout(() => {      updateNodeInternals(id)    }, 500); </code></pre>",,,true
"{'account_id': 10426633, 'reputation': 20743, 'user_id': 7687666, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/syXeE.png?s=256', 'display_name': 'Jason Pan', 'link': 'https://stackoverflow.com/users/7687666/jason-pan'}",False,-1,1728459909,1728455245,79068827,79060048,CC BY-SA 4.0,"<h3>UPDATE</h3> <p>Since you are using <code>UseHttpsRedirection</code>, and why it is still using <code>http://localhost:5243</code> endpoint in cors error message.</p> <p>So please follow my suggestions below to check if it can fix the issue.</p> <p><em>1. Use https endpoint in your front-end.</em></p> <pre><code>try {      const response = await axios.post(          `https://localhost:port/MemberFirstName=${encodeURIComponent(member.firstName)}&LastName=${encodeURIComponent(member.lastName)}&DOB=${encodeURIComponent(member.dob)}&email=${encodeURIComponent(member.email)}` ); </code></pre> <p><em>2. Use below cors setting.</em></p> <pre><code>builder.Services.AddCors(options => {     options.AddPolicy(name: policyName,         policyBuilder =>         {             policyBuilder.WithOrigins(""http://localhost:3000"")                          .AllowAnyHeader()                          .AllowAnyMethod()                          .WithExposedHeaders(""Access-Control-Allow-Origin"", ""http://localhost:3000"")                          .AllowCredentials();         }); }); </code></pre> <p><em>3. Change the middleware order like below.</em></p> <pre><code>var app = builder.Build();  if (app.Environment.IsDevelopment()) {     app.UseSwagger();     app.UseSwaggerUI(); }  app.UseHttpsRedirection();  app.UseCors(policyName);  app.UseAuthorization();  app.MapControllers();  app.Run(); </code></pre> <p>The cors issue should be fixed by applying the changes above.</p> <h3>PREVIOUS</h3> <p>You can't use <code>WithOrigins</code> and <code>SetIsOriginAllowed</code> together.</p> <p><strong>The following code is an example of a correct CORS setup.</strong></p> <p><em>1. Allow All.</em></p> <pre><code>builder.Services.AddCors(options => options.AddPolicy(""CorsPolicy"", builder => {     builder.AllowAnyMethod()         .SetIsOriginAllowed(_ => true)         .AllowAnyHeader()         .AllowCredentials(); })); </code></pre> <p><em>2. Allow specific Origin.</em></p> <pre><code>builder.Services.AddCors(options => options.AddPolicy(""CorsPolicy"", policy => {     policy         .WithOrigins(""Your A site"")          .AllowAnyMethod()         .AllowAnyHeader()         .AllowCredentials(); })); </code></pre> <p>Here is related link: <a href=""https://stackoverflow.com/a/77520093/7687666"">SignalR Cross Domain</a></p>",1728459909.0,,true
"{'account_id': 36201048, 'reputation': 44, 'user_id': 27617253, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/678342f2b7c963782594055e0a1dde74?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ghaith Mansour', 'link': 'https://stackoverflow.com/users/27617253/ghaith-mansour'}",False,-1,1728251723,1728251723,79060150,79060048,CC BY-SA 4.0,"<p><code>.WithExposedHeaders(""Access-Control-Allow-Origin"", ""http://localhost:3000"")</code> is used to expose certain response headers to the client, but it's not needed for setting Access-Control-Allow-Origin</p> <p>You should try to pass the data as a JSON object instead of query parameters for security reasons at most, but also to be more aligned with REST principles.</p> <p>one last thing, make sure the recipient method in the controller is decorated with [HttpPost]</p>",,,true
"{'account_id': 36287597, 'reputation': 1, 'user_id': 27660033, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1465b6be7f8ffe5075f9892405d3e25f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Nikhil Kurle', 'link': 'https://stackoverflow.com/users/27660033/nikhil-kurle'}",False,0,1728398891,1728246489,79060033,79060031,CC BY-SA 4.0,<p>Just use these commands:</p> <ol> <li><code>npm cache clean --force</code></li> <li><code>cd android</code></li> <li><code>./gradlew clean</code></li> <li><code>cd ..</code></li> <li><code>npx react-native start --reset-cache</code></li> <li><code>npx react-native run-android</code></li> </ol> <p>No need to install the <code>WatchMan</code></p>,1728398891.0,,true
"{'account_id': 29291016, 'reputation': 110, 'user_id': 22441488, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3b260d0990a636748e372d93ef1cad8d?s=256&d=identicon&r=PG', 'display_name': 'dy0gu', 'link': 'https://stackoverflow.com/users/22441488/dy0gu'}",False,0,1728247432,1728246759,79060040,79059952,CC BY-SA 4.0,"<p>What you are asking is an extremely complex thing to do yourself, I would recommend using mature and tested community alternatives first to see if they suit your needs.</p> <p>One such example is the <code>react-live</code> package. On their <a href=""https://commerce.nearform.com/open-source/react-live"" rel=""nofollow noreferrer"">website</a> you can find a demo with a live editor that accepts react code and renders it to the right.</p> <p>You also have <a href=""https://www.npmjs.com/package/react-jsx-parser"" rel=""nofollow noreferrer"">react-jsx-parser</a>. Here is a simple example of the implementation you're looking for using this package:</p> <pre><code>import React from 'react' import JsxParser from 'react-jsx-parser'  const MyComponent = () => (   <JsxParser     jsx={`       <h1>Header</h1>       <div>I am text!</div>     `}   /> ) </code></pre> <p>Note that the <code>jsx</code> prop is a string so you can pass the code as a variable from your backend, this example types it inline for demonstration purposes.</p> <p>You'll have to refer to each project's documentation for more complex examples but most can easily handle custom components and simple hook usage.</p> <p>Keep in mind that if the code from the backend is user created it could expose you to security issues. There is a lot of care to be had when dealing with JSX injection, even if the packages handle most issues for you.</p>",1728247432.0,,true
"{'account_id': 13170666, 'reputation': 88007, 'user_id': 9513184, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/176386ce0b94057e55352484e69707f9?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Unmitigated', 'link': 'https://stackoverflow.com/users/9513184/unmitigated'}",False,0,1728268061,1728268061,79060430,79059873,CC BY-SA 4.0,"<p>You could handle the state for mode in <code>App</code> and pass it down through context.</p> <pre class=""lang-js prettyprint-override""><code>import { createContext, useState } from 'react'; export const ModeContext = createContext(); function App() {   const [mode, setMode] = useState('light');   return (     <ModeContext.Provider value={{mode, setMode}}>       <RouterProvider router={router} />     </ModeContext.Provider>   ); } </code></pre> <p>Then, any component can get (or set) the value.</p> <pre class=""lang-js prettyprint-override""><code>import { ModeContext } from './App'; import { useContext } from 'react'; function Home() {     const { mode } = useContext(ModeContext);     return 'Home content...'; } </code></pre>",,,true
"{'account_id': 26618602, 'reputation': 2870, 'user_id': 20237646, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa24d5646e4d1c444b17a77fd8a37337?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Dasari Kamali', 'link': 'https://stackoverflow.com/users/20237646/dasari-kamali'}",False,0,1728645228,1728645228,79077973,79059780,CC BY-SA 4.0,"<p>I successfully authenticated a user with the Microsoft Authentication Library (@azure/msal-react) in the following React application.</p> <p>Here is the complete code from the <a href=""https://github.com/DasariKamali/ReactAppAuthentication"" rel=""nofollow noreferrer"">GitHub repository</a>.</p> <p><strong>src/App.js :</strong></p> <pre class=""lang-js prettyprint-override""><code>import React, { useEffect, useState, useContext } from ""react""; import { Routes, Route, Navigate, useLocation, useNavigate } from ""react-router-dom""; import { ThemeProvider } from ""@mui/material/styles""; import CssBaseline from ""@mui/material/CssBaseline""; import Icon from ""@mui/material/Icon""; import MDBox from ""./components/UI/MDBox""; import theme from ""./styles/theme""; import themeDark from ""./styles/themeDark""; import SignIn from ""./components/Auth/SignIn""; import PrivateRoute from ""./components/Layout/PrivateRoute""; import routes from ""./routes/routes""; import { msalConfig } from ""./config/authConfig""; import { MsalProvider, useMsal, useIsAuthenticated } from ""@azure/msal-react""; import { PublicClientApplication, EventType } from ""@azure/msal-browser""; import { GlobalStateProvider, GlobalStateContext } from ""./contexts/GlobalStateContext"";  const pca = new PublicClientApplication(msalConfig);  function AppContent() {   const location = useLocation();   const navigate = useNavigate();   const [controller, setController] = useState({     miniSidenav: false,     direction: ""ltr"",     layout: ""dashboard"",     openConfigurator: false,     sidenavColor: ""blue"",     transparentSidenav: false,     whiteSidenav: false,     darkMode: false,   });   const {     miniSidenav,     direction,     layout,     openConfigurator,     sidenavColor,     transparentSidenav,     whiteSidenav,     darkMode,   } = controller;   const [onMouseEnter, setOnMouseEnter] = useState(false);   const [allowedPages, setAllowedPages] = useState([""sign-in"", ""sign-up"", ""report"", ""authentication/sign-in"", ""unauthorized""]);   const { instance, accounts, inProgress } = useMsal();   const isAuthenticated = useIsAuthenticated();   const { stateObj } = useContext(GlobalStateContext);    useEffect(() => {     const fetchAllowedPages = async () => {       const allRouteKeys = routes.map((route) => route.key);       setAllowedPages(allRouteKeys);     };     fetchAllowedPages();   }, []);   useEffect(() => {     document.body.setAttribute(""dir"", direction);   }, [direction]);   useEffect(() => {     if (stateObj) {       const { AICallAssuranceAgent, AICallAssuranceMgr, AICallSummary } = stateObj;       let allRouteKeys = AICallSummary ? allowedPages : allowedPages.filter((route) => route !== ""callsummary"");       allRouteKeys = AICallAssuranceAgent || AICallAssuranceMgr ? allRouteKeys : allRouteKeys.filter((route) => route !== ""callassurance"");       if (JSON.stringify(allRouteKeys) !== JSON.stringify(allowedPages)) {         setAllowedPages(allRouteKeys);       }     }     document.documentElement.scrollTop = 0;     document.scrollingElement.scrollTop = 0;   }, [stateObj, allowedPages]);    useEffect(() => {     navigate(location.pathname);   }, [inProgress, accounts, navigate, location.pathname]);   useEffect(() => {     const handleMsalEvent = (event) => {       if (event.eventType === EventType.LOGIN_SUCCESS) {         instance.setActiveAccount(event.payload.account);       }     };     const callbackId = instance.addEventCallback(handleMsalEvent);     return () => {       if (callbackId) {         instance.removeEventCallback(callbackId);       }     };   }, [instance]);   const handleOnMouseEnter = () => {     if (miniSidenav && !onMouseEnter) {       setController((prev) => ({ ...prev, miniSidenav: false }));       setOnMouseEnter(true);     }   };   const handleOnMouseLeave = () => {     if (onMouseEnter) {       setController((prev) => ({ ...prev, miniSidenav: true }));       setOnMouseEnter(false);     }   };   const handleConfiguratorOpen = () => {     setController((prev) => ({ ...prev, openConfigurator: !prev.openConfigurator }));   };   const filteredRoutes = routes.filter((route) => allowedPages.includes(route.key));   const configsButton = (     <MDBox       display=""flex""       justifyContent=""center""       alignItems=""center""       width=""3.25rem""       height=""3.25rem""       sx={{ backgroundColor: ""white"" }}       shadow=""sm""       borderRadius=""50%""       position=""fixed""       right=""2rem""       bottom=""2rem""       zIndex={99}       color=""red""       onClick={handleConfiguratorOpen}     >       <Icon fontSize=""small"" color=""inherit"">         settings       </Icon>     </MDBox>   );   return (     <ThemeProvider theme={darkMode ? themeDark : theme}>       <CssBaseline />       {}       {configsButton}       <Routes>         <Route path=""/authentication/sign-in"" element={<SignIn />} />         {filteredRoutes.map((route) => (           <Route             key={route.key}             path={route.route}             element={               <PrivateRoute>                 {route.component}               </PrivateRoute>             }           />         ))}         <Route path=""*"" element={<Navigate to=""/callsummary"" />} />       </Routes>     </ThemeProvider>   ); } function App() {   return (     <MsalProvider instance={pca}>       <GlobalStateProvider>         <AppContent />       </GlobalStateProvider>     </MsalProvider>   ); } export default App; </code></pre> <p><strong>src/components/Auth/SignIn.js :</strong></p> <pre class=""lang-js prettyprint-override""><code>import React from 'react'; import { useMsal } from '@azure/msal-react'; import MDBox from '../UI/MDBox';  import { Button, TextField } from '@mui/material';  const SignIn = () => {     const { instance } = useMsal();     const handleLogout = () => {         instance.logout();     };     const handleSignIn = (event) => {         event.preventDefault();         instance.loginPopup().catch((error) => {             console.error(""Login failed: "", error);         });     };     return (         <MDBox>             <form onSubmit={handleSignIn}>                 <Button type=""submit"" variant=""contained"" color=""primary"">                     Sign In                 </Button>                 <Button onClick={handleLogout} variant=""outlined"" color=""secondary"">                     Logout                 </Button>             </form>         </MDBox>     ); }; export default SignIn; </code></pre> <p><strong>src/config/authConfig.js :</strong></p> <pre class=""lang-js prettyprint-override""><code>import { LogLevel } from ""@azure/msal-browser"";  export const msalConfig = {   auth: {     clientId: ""<clientID>"",      authority: ""https://login.microsoftonline.com/<tenantID>"",      redirectUri: ""http://localhost:3000"",      postLogoutRedirectUri: ""http://localhost:3000"",   },   cache: {     cacheLocation: ""localStorage"",      storeAuthStateInCookie: false,    },   system: {     loggerOptions: {       loggerCallback: (level, message, containsPii) => {         if (containsPii) return;         switch (level) {           case LogLevel.Error:             console.error(message);             return;           case LogLevel.Info:             console.info(message);             return;           case LogLevel.Verbose:             console.debug(message);             return;           case LogLevel.Warning:             console.warn(message);             return;           default:             return;         }       },       logLevel: LogLevel.Info,       piiLoggingEnabled: false,     },   }, }; export const loginRequest = {   scopes: [""User.Read""], }; </code></pre> <p>I added the below URL in Azure AD under Authentication URIs as a Single-Page Application.</p> <pre><code>http://localhost:3000 </code></pre> <p><img src=""https://i.imgur.com/n8Znxy0.png"" alt=""enter image description here"" /></p> <p><strong>Output :</strong></p> <p>I successfully signed in and signed out as shown below.</p> <pre><code>http://localhost:3000/authentication/sign-in </code></pre> <p><img src=""https://i.imgur.com/QJlm1qg.png"" alt=""enter image description here"" /></p> <p><img src=""https://i.imgur.com/3j6VE8X.png"" alt=""enter image description here"" /></p> <p><img src=""https://i.imgur.com/4zLybSA.png"" alt=""enter image description here"" /></p>",,,true
"{'account_id': 18282742, 'reputation': 3093, 'user_id': 13311273, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhDN1-9fMTc1eWRay_inGJFCldR3IfJHW1I5ixIiQ=k-s256', 'display_name': 'Oki', 'link': 'https://stackoverflow.com/users/13311273/oki'}",True,1,1728235913,1728235554,79059702,79059550,CC BY-SA 4.0,"<p><code>theme.shape.borderRadius</code> specifies the default border radius value (in pixels)</p> <p>The prop <code>borderRadius</code>, that is passed to components, tells <strong>by how much the theme border radius will be multiplied</strong></p> <p>If a component receives <code>borderRadius</code> as <code>number</code>, it multiplies it by <code>theme.shape.borderRadius</code></p> <p>In your example, your theme border radius is 3 and the Box border radius is also 3 as number (since it returns the theme's one) and that leads to 3x3=9px</p> <p>If you want to use the theme border radius, you can simply pass <strong>1</strong> as value</p> <p><code><Box borderRadius={1} /></code> This tells mui that you want to use the theme border as it is, without the need of a callback to access the theme</p> <p>Here in <a href=""https://mui.com/system/borders/#border-radius"" rel=""nofollow noreferrer"">this example</a> they have a comment that says <code>theme.shape.borderRadius * 1</code></p>",1728235913.0,,true
