tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,is_post_ai
"['css', 'reactjs', 'tailwind-css']","{'account_id': 23008332, 'reputation': 23, 'user_id': 17131207, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjZTDp1XH0cxG9PzL-OVWqTvNeELDqJnZZywvtW=k-s256', 'display_name': 'Nazareno Garma', 'link': 'https://stackoverflow.com/users/17131207/nazareno-garma'}",True,40,79060313.0,1,0,1728261121,1728256113,1728256961.0,79060236,CC BY-SA 4.0,https://stackoverflow.com/questions/79060236/grayscale-filter-transition-dont-work-in-tailwind,Grayscale filter transition dont work in tailwind,,,true
"['javascript', 'reactjs', 'react-query', 'tanstackreact-query']","{'account_id': 13330462, 'reputation': 906, 'user_id': 9621971, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/3zhym.jpg?s=256', 'display_name': 'qqq', 'link': 'https://stackoverflow.com/users/9621971/qqq'}",True,84,79060348.0,1,0,1728353158,1728254898,1728353158.0,79060214,CC BY-SA 4.0,https://stackoverflow.com/questions/79060214/react-query-usemutation-does-not-update-new-changes-on-the-ui,react-query useMutation does not update new changes on the UI,,,true
"['reactjs', 'nodes', 'chatbot', 'react-flow']","{'account_id': 22990227, 'reputation': 57, 'user_id': 17115833, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/soqTJ.jpg?s=256', 'display_name': 'Narendra Dewasi', 'link': 'https://stackoverflow.com/users/17115833/narendra-dewasi'}",False,71,,1,0,1728684229,1728252171,1728684229.0,79060158,CC BY-SA 4.0,https://stackoverflow.com/questions/79060158/custom-node-buttons-handles-not-updating-or-reordering-properly,Custom Node Buttons Handles Not Updating or Reordering Properly,,,true
"['reactjs', 'animation', 'drag-and-drop', 'css-animations', 'dnd-kit']","{'account_id': 27646841, 'reputation': 129, 'user_id': 21102541, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AEdFTp6kJPJ1Nn6vVFAfnnjSkGAdIRP8jCLIXndELJIG=k-s256', 'display_name': 'Ash Gharibyan', 'link': 'https://stackoverflow.com/users/21102541/ash-gharibyan'}",False,18,,0,0,1728249598,1728249598,,79060107,CC BY-SA 4.0,https://stackoverflow.com/questions/79060107/dndcontext-animation-triggers-twice,DndContext Animation triggers twice,,,true
"['c#', 'reactjs', 'asp.net-core', 'cors']","{'account_id': 10439686, 'reputation': 21, 'user_id': 7696772, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7ccc67c39e42f2eae406015f9f6e0a09?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Eddie Ed', 'link': 'https://stackoverflow.com/users/7696772/eddie-ed'}",False,71,,2,0,1728459909,1728246926,1728445107.0,79060048,CC BY-SA 4.0,https://stackoverflow.com/questions/79060048/how-to-fix-cors-policy-in-asp-net-with-react,How to fix CORS policy in ASP.NET with React,,,true
"['reactjs', 'visual-studio', 'npm', 'command-line-interface']","{'account_id': 36287597, 'reputation': 1, 'user_id': 27660033, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1465b6be7f8ffe5075f9892405d3e25f?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Nikhil Kurle', 'link': 'https://stackoverflow.com/users/27660033/nikhil-kurle'}",False,44,,1,-1,1728398891,1728246431,,79060031,CC BY-SA 4.0,https://stackoverflow.com/questions/79060031/react-native-cli-failure-build-failed-with-an-exception-what-went-wrong,React Native CLI FAILURE: Build failed with an exception. * What went wrong:,,,true
['reactjs'],"{'account_id': 34373322, 'reputation': 1, 'user_id': 26535287, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c631aca4d2ead9664e6f58c007d3ce93?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ankit Raj', 'link': 'https://stackoverflow.com/users/26535287/ankit-raj'}",False,13,,0,0,1728246938,1728245972,1728246938.0,79060018,CC BY-SA 4.0,https://stackoverflow.com/questions/79060018/while-using-download-function-dragger-function-in-react-error,while using download function dragger function in react ERROR:,,,true
"['html', 'reactjs', 'drag-and-drop', 'draftjs', 'react-draft-wysiwyg']","{'account_id': 9487049, 'reputation': 111, 'user_id': 7053142, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/lqi22.jpg?s=256', 'display_name': 'Anisha Pal Mohor', 'link': 'https://stackoverflow.com/users/7053142/anisha-pal-mohor'}",False,10,,0,0,1728246278,1728245913,1728246278.0,79060014,CC BY-SA 4.0,https://stackoverflow.com/questions/79060014/how-to-get-datatransfer-text-from-handledrop-event-on-draftjs-editor,How to get datatransfer text from handleDrop event on draftjs editor?,,,true
"['reactjs', 'node.js', 'socket.io', 'electron']","{'account_id': 3193913, 'reputation': 18267, 'user_id': 2697571, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/c0fd6efd5c0836e840082a9319b8c1b4?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Mendes', 'link': 'https://stackoverflow.com/users/2697571/mendes'}",False,27,,0,-2,1728305497,1728244783,1728305497.0,79059986,CC BY-SA 4.0,https://stackoverflow.com/questions/79059986/reactjs-state-variable-not-being-updated-by-electrons-preload-ipcrenderer,ReactJs state variable not being updated by Electron&#39;s preload ipcRenderer,,,true
"['reactjs', 'django']","{'account_id': 21786764, 'reputation': 43, 'user_id': 16087650, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxKlDRahf5QfIjYS3cmU62GxlHxtAl6plTrRtLH=k-s256', 'display_name': 'Incepnizer', 'link': 'https://stackoverflow.com/users/16087650/incepnizer'}",False,45,,1,1,1728247432,1728243530,1728245886.0,79059952,CC BY-SA 4.0,https://stackoverflow.com/questions/79059952/how-to-run-react-code-to-render-a-webpage-and-display-to-user,How to run react code to render a webpage and display to user?,,,true
