user_id,user_name,max_votes,min_votes,median_votes,best_answer
80911,Evert,153,-3,1.0,28
1280867,Martin,27,-1,1.0,10
1471485,John,262,-1,1.0,57
2307008,Tom Finney,67,-1,1.0,55
2873538,Ajeet Shah,104,-1,1.0,95
3052438,Piotr Siupa,31,0,1.0,31
3190976,TheRubberDuck,17,0,1.0,17
3794812,Nicholas Tower,316,-3,1.0,30
3848384,Antonio Erdeljac,101,0,1.0,101
3963067,Giorgi Moniava,137,0,2.0,32
5996031,Aman Sadhwani,245,-1,0.0,245
6463558,Lin Du,121,-2,1.0,116
6870228,Keith,70,-5,1.0,57
6888239,Mehul Thakkar,96,0,1.0,96
7781935,Tyler Dane,7,-1,1.0,2
8405310,TkDodo,100,-1,1.0,100
8510405,Amila Senadheera,20,-2,1.0,17
8553678,karim elsaidy,122,0,1.0,122
9515207,CertainPerformance,563,-3,2.0,29
10602242,Vojtěch Strnad,159,0,1.0,59
13781069,exaucae,97,-2,1.0,97
16525519,bmusonda,39,1,6.0,39
16776059,Alireza Khaksar,19,19,19.0,19
18745684,Ferruh,134,134,134.0,134
